結	38
溢	0
疾	1
游	34
丘	1
流	44
期	79
滋	21
施	18
此	23
有	325
離	32
覆	3
洽	1
修	1
昆	0
延	4
人	650
結	溢	0
結	疾	0
結	游	0
結	丘	0
結	流	0
結	期	0
結	滋	0
結	施	0
結	此	0
結	有	0
結	離	0
結	覆	0
結	洽	0
結	修	0
結	昆	0
結	延	0
結	人	0
溢	疾	0
溢	游	0
溢	丘	0
溢	流	0
溢	期	0
溢	滋	0
溢	施	0
溢	此	0
溢	有	0
溢	離	0
溢	覆	0
溢	洽	0
溢	修	0
溢	昆	0
溢	延	0
溢	人	0
疾	游	0
疾	丘	0
疾	流	0
疾	期	0
疾	滋	0
疾	施	0
疾	此	0
疾	有	0
疾	離	0
疾	覆	0
疾	洽	0
疾	修	0
疾	昆	0
疾	延	0
疾	人	0
游	丘	0
游	流	0.25
游	期	0.09090909090909091
游	滋	0
游	施	0
游	此	0
游	有	0
游	離	0
游	覆	0
游	洽	0
游	修	0
游	昆	0
游	延	0
游	人	0
丘	流	0
丘	期	0
丘	滋	0
丘	施	0
丘	此	0
丘	有	0
丘	離	0
丘	覆	0
丘	洽	0
丘	修	0
丘	昆	0
丘	延	0
丘	人	0
流	期	0.09090909090909091
流	滋	0
流	施	0
流	此	0
流	有	0
流	離	0.16666666666666666
流	覆	0
流	洽	0
流	修	1.0
流	昆	0
流	延	0
流	人	0
期	滋	0.25
期	施	0
期	此	0
期	有	0
期	離	0.125
期	覆	0
期	洽	0
期	修	0
期	昆	0
期	延	0
期	人	0
滋	施	0
滋	此	0
滋	有	0
滋	離	0
滋	覆	0
滋	洽	0
滋	修	0
滋	昆	0
滋	延	0
滋	人	0
施	此	0
施	有	0
施	離	0
施	覆	0
施	洽	0
施	修	0
施	昆	0
施	延	0
施	人	0
此	有	0
此	離	0
此	覆	0
此	洽	0
此	修	0
此	昆	0
此	延	0
此	人	0
有	離	0
有	覆	0
有	洽	0
有	修	0
有	昆	0
有	延	0
有	人	0
離	覆	0
離	洽	0
離	修	0
離	昆	0
離	延	0
離	人	0
覆	洽	0
覆	修	0
覆	昆	0
覆	延	0
覆	人	0
洽	修	0
洽	昆	0
洽	延	0
洽	人	0
修	昆	0
修	延	0
修	人	0
昆	延	0
昆	人	0
延	人	0
報	0
靈	19
弟	8
怛	0
心	160
命	37
贖	0
日	590
財	1
母	622
少	25
儉	0
情	36
儀	8
明	2153
慎	0
報	靈	0
報	弟	0
報	怛	0
報	心	0
報	命	0
報	贖	0
報	日	0
報	財	0
報	母	0
報	少	0
報	儉	0
報	情	0
報	儀	0
報	明	0
報	慎	0
靈	弟	0
靈	怛	0
靈	心	0
靈	命	0
靈	贖	0
靈	日	0
靈	財	0
靈	母	0
靈	少	0
靈	儉	0
靈	情	0
靈	儀	0
靈	明	1.0
靈	慎	0
弟	怛	0
弟	心	0
弟	命	0
弟	贖	0
弟	日	0
弟	財	0
弟	母	0
弟	少	0
弟	儉	0
弟	情	0
弟	儀	0
弟	明	0
弟	慎	0
怛	心	0
怛	命	0
怛	贖	0
怛	日	0
怛	財	0
怛	母	0
怛	少	0
怛	儉	0
怛	情	0
怛	儀	0
怛	明	0
怛	慎	0
心	命	0
心	贖	0
心	日	0.037037037037037035
心	財	0
心	母	0
心	少	0
心	儉	0
心	情	0
心	儀	0
心	明	1.0
心	慎	0
命	贖	0
命	日	0
命	財	0
命	母	0
命	少	0
命	儉	0
命	情	0
命	儀	0
命	明	0
命	慎	0
贖	日	0
贖	財	0
贖	母	0
贖	少	0
贖	儉	0
贖	情	0
贖	儀	0
贖	明	0
贖	慎	0
日	財	0
日	母	0.5
日	少	0
日	儉	0
日	情	0
日	儀	0
日	明	0.5
日	慎	0
財	母	0
財	少	0
財	儉	0
財	情	0
財	儀	0
財	明	0
財	慎	0
母	少	0.041666666666666664
母	儉	0
母	情	0
母	儀	0
母	明	0.14285714285714285
母	慎	0
少	儉	0
少	情	0
少	儀	0
少	明	0
少	慎	0
儉	情	0
儉	儀	0
儉	明	0
儉	慎	0
情	儀	0
情	明	0
情	慎	0
儀	明	0
儀	慎	0
明	慎	0
君	266
純	0
雲	293
宣	16
恩	14
尊	24
懃	0
文	47
賢	62
君	純	0
君	雲	1.0
君	宣	0
君	恩	0
君	尊	0
君	懃	0
君	文	0
君	賢	0
純	雲	0
純	宣	0
純	恩	0
純	尊	0
純	懃	0
純	文	0
純	賢	0
雲	宣	0
雲	恩	0
雲	尊	0
雲	懃	0
雲	文	0.5
雲	賢	0
宣	恩	0
宣	尊	0
宣	懃	0
宣	文	0
宣	賢	0
恩	尊	0.16666666666666666
恩	懃	0
恩	文	0.2
恩	賢	0
尊	懃	0
尊	文	0
尊	賢	0.14285714285714285
懃	文	0
懃	賢	0
文	賢	0.3333333333333333
川	1
原	0
驚	3
玄	4
文	55
間	77
民	53
是	7
秦	11
神	13
庭	66
生	211
清	11
盈	0
坤	0
君	274
孫	701
昆	17
優	5
搖	10
休	44
疇	0
條	13
熹	2
朝	26
治	19
隅	43
祺	7
保	645
川	原	0
川	驚	0
川	玄	0
川	文	0
川	間	0
川	民	0
川	是	0
川	秦	0
川	神	0
川	庭	0
川	生	0
川	清	0
川	盈	0
川	坤	0
川	君	0
川	孫	0
川	昆	0
川	優	0
川	搖	0
川	休	0
川	疇	0
川	條	0
川	熹	0
川	朝	0
川	治	0
川	隅	0
川	祺	0
川	保	0
原	驚	0
原	玄	0
原	文	0
原	間	0
原	民	0
原	是	0
原	秦	0
原	神	0
原	庭	0
原	生	0
原	清	0
原	盈	0
原	坤	0
原	君	0
原	孫	0
原	昆	0
原	優	0
原	搖	0
原	休	0
原	疇	0
原	條	0
原	熹	0
原	朝	0
原	治	0
原	隅	0
原	祺	0
原	保	0
驚	玄	0
驚	文	0
驚	間	0
驚	民	0
驚	是	0
驚	秦	0
驚	神	0
驚	庭	0
驚	生	0
驚	清	0
驚	盈	0
驚	坤	0
驚	君	0
驚	孫	0
驚	昆	0
驚	優	0
驚	搖	0
驚	休	0
驚	疇	0
驚	條	0
驚	熹	0
驚	朝	0
驚	治	0
驚	隅	0
驚	祺	0
驚	保	0
玄	文	0
玄	間	0
玄	民	0
玄	是	0
玄	秦	0
玄	神	0
玄	庭	0
玄	生	0
玄	清	0
玄	盈	0
玄	坤	0
玄	君	0
玄	孫	0
玄	昆	0
玄	優	0
玄	搖	0
玄	休	0
玄	疇	0
玄	條	0
玄	熹	0
玄	朝	0
玄	治	0
玄	隅	0
玄	祺	0
玄	保	0
文	間	0
文	民	0
文	是	0
文	秦	0
文	神	0
文	庭	0
文	生	0
文	清	0.16666666666666666
文	盈	0
文	坤	0
文	君	0.125
文	孫	0
文	昆	0
文	優	0
文	搖	0
文	休	0
文	疇	0
文	條	0
文	熹	0
文	朝	0
文	治	0
文	隅	0
文	祺	0
文	保	0
間	民	0
間	是	0
間	秦	0
間	神	0
間	庭	0
間	生	0
間	清	0
間	盈	0
間	坤	0
間	君	0
間	孫	0
間	昆	0
間	優	0
間	搖	0
間	休	0
間	疇	0
間	條	0
間	熹	0
間	朝	0
間	治	0
間	隅	0
間	祺	0
間	保	0
民	是	0
民	秦	0
民	神	0.16666666666666666
民	庭	0
民	生	0
民	清	0
民	盈	0
民	坤	0
民	君	0.5
民	孫	0
民	昆	0
民	優	0
民	搖	0
民	休	0
民	疇	0
民	條	0
民	熹	0
民	朝	0
民	治	0
民	隅	0
民	祺	0
民	保	0
是	秦	0
