Mou2008.015.1.1： 惟平山a君。
Mou2008.015.1.2： 德配代嵩 承天【出】□。
Mou2008.015.1.3： □佑秥蟬 興甘風a雨。
Mou2008.015.1.4： 惠閏土田 □□壽a考。
Mou2008.015.1.5： 五穀豐【成】 盜賊不a起。
Mou2008.015.1.6： □（主凡）□臧 出入吉a利。
Mou2008.015.1.7： 咸受神a光。
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□。
Mou2008.030.1.2： □□□a結。
Mou2008.030.1.3： 四時不a和。
Mou2008.030.1.4： 害氣蕃a溢。
Mou2008.030.1.5： 嗟命何a辜。
Mou2008.030.1.6： 獨遭斯a疾。
Mou2008.030.1.7： 中夜奄a喪。
Mou2008.030.1.8： □□□□。
Mou2008.030.1.9： □□□（勞）。
Mou2008.030.1.10： 忽然遠a游。
Mou2008.030.1.11： 將即幽a都。
Mou2008.030.1.12： 歸于電a丘。
Mou2008.030.1.13： 涼風滲a淋。
Mou2008.030.1.14： 寒水北a流。
Mou2008.030.1.15： □□□□。
Mou2008.030.1.16： □□□a期。
Mou2008.030.1.17： 痛哉仁a人。
Mou2008.030.1.18： 積德若a滋。
Mou2008.030.1.19： 孔子大a聖。
Mou2008.030.1.20： 抱道不a施。
Mou2008.030.1.21： 尚困于a世。
Mou2008.030.1.22： □□□□。
Mou2008.030.1.23： □□□a淵。
Mou2008.030.1.24： 亦遇a此（菑）。
Mou2008.030.1.25： 守善不a報。
Mou2008.030.1.26： 自古a有之。
Mou2008.030.1.27： 非獨孝a琚。
Mou2008.030.1.28： 遭逢百a離。
Mou2008.030.1.29： □□□□。
Mou2008.030.1.30： □□□a覆。
Mou2008.030.1.31： 恨不伸a志。
