Mou2008.015.1： 惟平山君，德配代嵩 承天【出】□，□佑秥蟬 興甘風雨，惠閏土田 □□壽考，五穀豐【成】 盜賊不起，□（主凡）□臧 出入吉利，咸受神光
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□，□□□j結。
Mou2008.030.1.2： 四時不和，害氣蕃ψn溢。
Mou2008.030.1.3： 嗟命何辜，獨遭斯a疾。
Mou2008.030.1.4： 中夜奄喪，□□□□。
Mou2008.030.1.5： □□□（勞），忽然遠l游。
Mou2008.030.1.6： 將即幽都，歸于電νs丘。
Mou2008.030.1.7： 涼風滲淋，寒水北i流。
Mou2008.030.1.8： □□□□，□□□d期。
Mou2008.030.1.9： 痛哉仁人，積德若d滋。
Mou2008.030.1.10： 孔子大聖，抱道不βe施。
Mou2008.030.1.11： 尚困于世，□□□□。
Mou2008.030.1.12： □□□淵，亦遇a此（菑）。
Mou2008.030.1.13： 守善不報，自古a有之。
Mou2008.030.1.14： 非獨孝琚，遭逢百i離。
Mou2008.030.1.15： □□□□，□□□τb覆。
Mou2008.030.1.16： 恨不伸志，翻揚隆ψo洽。
Mou2008.030.1.17： 身滅名存，美稱i修（飭）。
Mou2008.030.1.18： 勉崇素意，□□□□。
Mou2008.030.1.19： □□□（日吉），流惠後e昆。
Mou2008.030.1.20： 四時祭祀，煙火連ηo延。
Mou2008.030.1.21： 萬歲不絕，勖于後a人。
Mou2008.034.1.1： 維烏維烏，尚懷反報，何況於人，號治四靈，君臣父子，順孫弟a弟。
Mou2008.034.1.2： 二親薨沒，孤悲惻怛，嗚號正月，旦夕思慕冱心，長网五內，力求天命，年壽非永，百身莫贖，欲廣祠廟，尚無餘a日。
Mou2008.034.1.3： 嗚呼，匪愛力財，迫於制度，蓋欲章明孔子葬母，四尺之裔行上德，比承前聖歲少，以降昭皆，永為德儉，人且記入於ψp禮。
Mou2008.034.1.4： 秦仙爰敢宣情，徵之斯石，示有表儀，孝弟之至，通於神明，子孫奉祠，欣肅ψq慎焉。
Mou2008.044.1.1： 惟中嶽大室，崇高神君，處茲中夏，伐業最e純。
Mou2008.044.1.2： 春生萬物，膚寸起a雲。
Mou2008.044.1.3： 潤施原流，鴻濛沛λu宣。
Mou2008.044.1.4： 竝天四海，莫不蒙a恩。
Mou2008.044.1.5： 聖朝肅敬，衆庶所尊，齋誡奉祀，戰慄盡懃，以頌功德，刻石紀文，垂顯述異，以傳後t賢。
Mou2008.045.1.1： 昔者共工，範防百χw川。
Mou2008.045.1.2： 柏鮌稱遂，□□其ψr原。
Mou2008.045.1.3： 洪泉浩浩，下民震νl驚。
Mou2008.045.1.4： 禹□大功，疏河寫b玄。
Mou2008.045.1.5： 九山甄旅，咸秩無a文。
Mou2008.045.1.6： 爰納塗山，辛癸之t間。
Mou2008.045.1.7： 三過亡入，寔勤斯g民。
Mou2008.045.1.8： 同心濟【隘】，百川θl是（正）。
Mou2008.045.1.9： 杞繒漸替，又遭亂a秦。
Mou2008.045.1.10： 聖漢禋亨，於茲馮g神。
Mou2008.045.1.11： 翩彼飛雉，崪於其e庭。
Mou2008.045.1.12： 貞祥符瑞，靈支挺a生。
Mou2008.045.1.13： 陵谷鬻化，陰陽穆e清。
Mou2008.045.1.14： 興雲降雨，□□□e盈。
Mou2008.045.1.15： 守□不歇，比性乾g坤。
Mou2008.045.1.16： 福祿來（仮），相（宥）我b君。
Mou2008.045.1.17： 千秋萬祀，子子孫a孫。
Mou2008.045.1.18： 表碣銘功，昭眡後e昆。
Mou2008.045.1.19： □□□以作廦，惪洋溢而溥a優。
Mou2008.045.1.20： □□□□為政，（鼎刂）文耀以消w搖。
Mou2008.045.1.21： □□□□時雝，皇極正而降η休。
Mou2008.045.1.22： □□□□□穎，芬茲楙于圃ψs疇。
Mou2008.045.1.23： □□□□□閉，木連理與芊a條。
Mou2008.045.1.24： □□□□□盛，胙日新而累a熹。
Mou2008.045.1.25： □□□而慕化，咸來王而會δ朝。
Mou2008.045.1.26： □□□其清靜，九域尐其脩d治。
Mou2008.045.1.27： □□□□祈福，祀聖母虖山η隅。
Mou2008.045.1.28： 神禋亨而飴格，釐我後以萬βo祺。
Mou2008.045.1.29： 于胥樂而罔極，永歷載而a保之。
Mou2008.051.1.1： 惟王孝淵，嚴【己】毅【仁】，□懷慷慨，□□□□，□□□□。
Mou2008.051.1.2： 清約節儉，進退應□。
Mou2008.051.1.3： □□□福，莫□□□。
Mou2008.051.1.4： □乎鴻發，紹內廷□□□□□□□□□穀□a聖。
Mou2008.051.1.5： □芬幽蘭，伯□伯□。
Mou2008.051.1.6： □墳造墓，蘭疏幽β房。
Mou2008.051.1.7： □□燿丘，□禮□□。
Mou2008.051.1.8： □□勒控，□奉來e昆。
Mou2008.051.1.9： □履踰□，□思竭□。
Mou2008.051.1.10： 鴻□維□，□□隆e榮。
Mou2008.051.1.11： 大協同歸，石立□a顯。
Mou2008.051.1.12： 爰示後世，台台勿忘，子子孫孫，秉承久a長。
Mou2008.058.1.1： 從事秉德，如玉如瑩，表像所挺，履方【所】（下闕）上，勳力有e成。
Mou2008.058.1.2： 浩浩兾圡，從事是（糹a一八土）。
Mou2008.058.1.3： 所（下闕）是ψt屏。
Mou2008.058.1.4： 何寤不遂，中年殀ψu苓。
Mou2008.058.1.5： 世喪模範，朝以造茲漢安元ψv軨。
Mou2008.060.1.1： 伏惟明府，受質自a天。
Mou2008.060.1.2： 孝弟淵懿，帥禮蹈a仁。
Mou2008.060.1.3： 根道核藝，抱淑守g真。
Mou2008.060.1.4： 皛白清方，勊己治g身。
Mou2008.060.1.5： 寔渘寔（剛），乃武乃a文。
Mou2008.060.1.6： 遵考孝謁，假階司g農。
Mou2008.060.1.7： 流惪元城，興利惠g民。
Mou2008.060.1.8： 強衙改節，微弱蒙a恩。
Mou2008.060.1.9： 威立澤宣，化行如g神。
Mou2008.060.1.10： 帝嘉厥功，授以符a命。
Mou2008.060.1.11： 守郡益州，路遐孿a親。
Mou2008.060.1.12： 躬自遜讓，夙宵朝g廷。
Mou2008.060.1.13： 建英忠讜，辨秩東g衍。
Mou2008.060.1.14： 璽追嘉錫，據北海a相。
