Mou2008.015.1： 惟平山君，德配代嵩 承天【出】□，□佑秥蟬 興甘風雨，惠閏土田 □□壽考，五穀豐【成】 盜賊不起，□（主凡）□臧 出入吉利，咸受神光
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□，□□□a(et)結。
Mou2008.030.1.2： 四時不和，害氣蕃b(it)溢。
Mou2008.030.1.3： 嗟命何辜，獨遭斯b(it)疾。
Mou2008.030.1.4： 中夜奄喪，□□□□。
Mou2008.030.1.5： □□□（勞），忽然遠c(u)游。
Mou2008.030.1.6： 將即幽都，歸于電c(u)丘。
Mou2008.030.1.7： 涼風滲淋，寒水北c(u)流。
Mou2008.030.1.8： □□□□，□□□d(iə)期。
Mou2008.030.1.9： 痛哉仁人，積德若d(iə)滋。
Mou2008.030.1.10： 孔子大聖，抱道不e(ɑi)施。
Mou2008.030.1.11： 尚困于世，□□□□。
Mou2008.030.1.12： □□□淵，亦遇f(ie)此（菑）。
Mou2008.030.1.13： 守善不報，自古c(u)有之。
Mou2008.030.1.14： 非獨孝琚，遭逢百h(iɑi)離。
Mou2008.030.1.15： □□□□，□□□c(u)覆。
Mou2008.030.1.16： 恨不伸志，翻揚隆i(ɛp)洽。
Mou2008.030.1.17： 身滅名存，美稱c(u)修（飭）。
Mou2008.030.1.18： 勉崇素意，□□□□。
Mou2008.030.1.19： □□□（日吉），流惠後j(uən)昆。
Mou2008.030.1.20： 四時祭祀，煙火連k(an)延。
Mou2008.030.1.21： 萬歲不絕，勖于後l(in)人。
Mou2008.034.1.1： 維烏維烏，尚懷反報，何況於人，號治四靈，君臣父子，順孫弟a(ei)弟。
Mou2008.034.1.2： 二親薨沒，孤悲惻怛，嗚號正月，旦夕思慕冱心，長网五內，力求天命，年壽非永，百身莫贖，欲廣祠廟，尚無餘b(it)日。
Mou2008.034.1.3： 嗚呼，匪愛力財，迫於制度，蓋欲章明孔子葬母，四尺之裔行上德，比承前聖歲少，以降昭皆，永為德儉，人且記入於a(ei)禮。
Mou2008.034.1.4： 秦仙爰敢宣情，徵之斯石，示有表儀，孝弟之至，通於神明，子孫奉祠，欣肅c(in)慎焉。
Mou2008.044.1.1： 惟中嶽大室，崇高神君，處茲中夏，伐業最a(uən)純。
Mou2008.044.1.2： 春生萬物，膚寸起b(un)雲。
Mou2008.044.1.3： 潤施原流，鴻濛沛c(ian)宣。
Mou2008.044.1.4： 竝天四海，莫不蒙d(ən)恩。
Mou2008.044.1.5： 聖朝肅敬，衆庶所尊，齋誡奉祀，戰慄盡懃，以頌功德，刻石紀文，垂顯述異，以傳後e(im)賢。
Mou2008.045.1.1： 昔者共工，範防百a(uan)川。
Mou2008.045.1.2： 柏鮌稱遂，□□其b(iɑn)原。
Mou2008.045.1.3： 洪泉浩浩，下民震c(ieŋ)驚。
Mou2008.045.1.4： 禹□大功，疏河寫d(uen)玄。
Mou2008.045.1.5： 九山甄旅，咸秩無e(un)文。
Mou2008.045.1.6： 爰納塗山，辛癸之f(ɛn)間。
Mou2008.045.1.7： 三過亡入，寔勤斯h(in)民。
Mou2008.045.1.8： 同心濟【隘】，百川i(e)是（正）。
Mou2008.045.1.9： 杞繒漸替，又遭亂h(in)秦。
Mou2008.045.1.10： 聖漢禋亨，於茲馮h(in)神。
Mou2008.045.1.11： 翩彼飛雉，崪於其j(eŋ)庭。
Mou2008.045.1.12： 貞祥符瑞，靈支挺k(ɛŋ)生。
Mou2008.045.1.13： 陵谷鬻化，陰陽穆c(ieŋ)清。
Mou2008.045.1.14： 興雲降雨，□□□j(eŋ)盈。
Mou2008.045.1.15： 守□不歇，比性乾l(uən)坤。
Mou2008.045.1.16： 福祿來（仮），相（宥）我e(un)君。
Mou2008.045.1.17： 千秋萬祀，子子孫l(uən)孫。
Mou2008.045.1.18： 表碣銘功，昭眡後l(uən)昆。
Mou2008.045.1.19： □□□以作廦，惪洋溢而溥m(u)優。
Mou2008.045.1.20： □□□□為政，（鼎刂）文耀以消n(au)搖。
Mou2008.045.1.21： □□□□時雝，皇極正而降m(u)休。
Mou2008.045.1.22： □□□□□穎，芬茲楙于圃m(u)疇。
Mou2008.045.1.23： □□□□□閉，木連理與芊o(eu)條。
Mou2008.045.1.24： □□□□□盛，胙日新而累p(ɨə)熹。
Mou2008.045.1.25： □□□而慕化，咸來王而會q(ɑu)朝。
Mou2008.045.1.26： □□□其清靜，九域尐其脩r(ə)治。
Mou2008.045.1.27： □□□□祈福，祀聖母虖山s(io)隅。
Mou2008.045.1.28： 神禋亨而飴格，釐我後以萬p(ɨə)祺。
Mou2008.045.1.29： 于胥樂而罔極，永歷載而t(ou)保之。
Mou2008.051.1.1： 惟王孝淵，嚴【己】毅【仁】，□懷慷慨，□□□□，□□□□。
Mou2008.051.1.2： 清約節儉，進退應□。
Mou2008.051.1.3： □□□福，莫□□□。
Mou2008.051.1.4： □乎鴻發，紹內廷□□□□□□□□□穀□a(eŋ)聖。
Mou2008.051.1.5： □芬幽蘭，伯□伯□。
Mou2008.051.1.6： □墳造墓，蘭疏幽b(uɑŋ)房。
Mou2008.051.1.7： □□燿丘，□禮□□。
Mou2008.051.1.8： □□勒控，□奉來c(uən)昆。
Mou2008.051.1.9： □履踰□，□思竭□。
Mou2008.051.1.10： 鴻□維□，□□隆d(uaŋ)榮。
Mou2008.051.1.11： 大協同歸，石立□e(en)顯。
Mou2008.051.1.12： 爰示後世，台台勿忘，子子孫孫，秉承久f(ɑŋ)長。
Mou2008.058.1.1： 從事秉德，如玉如瑩，表像所挺，履方【所】（下闕）上，勳力有a(eŋ)成。
Mou2008.058.1.2： 浩浩兾圡，從事是（糹b(it)一八土）。
Mou2008.058.1.3： 所（下闕）是a(eŋ)屏。
Mou2008.058.1.4： 何寤不遂，中年殀a(eŋ)苓。
Mou2008.058.1.5： 世喪模範，朝以造茲漢安元a(eŋ)軨。
Mou2008.064.1.1： 君幼□顔閔之楙質，長敷斿夏之文學，慈惠寬□，孝友玄a(iau)妙。
Mou2008.064.1.2： 苞羅術蓺，貫洞聖□，博兼□□，耽綜典b(iak)籍。
Mou2008.064.1.3： □思□純，求福不c(uəi)回。
Mou2008.064.1.4： 清聲美行，闡形遠d(in)近。
Mou2008.064.1.5： 州郡貪其高賢幼少，請以□□歲e(iɑ)舉。
Mou2008.064.1.6： □翼紫宮，□□詔除，光顯王室，有□於國，帝庸f(ai)嘉之。
Mou2008.064.1.7： 掌司古□，領校秘𨞓，研□幽h(ui)微。
Mou2008.064.1.8： 追昔劉向，辯、賈之徒，比□i(iɑn)萬矣。
Mou2008.064.1.9： 時戎□□，匡正一□。
Mou2008.064.1.10： □朝廷惟憂□□，有司□□舉j(un)君。
Mou2008.064.1.11： 斑到官之日，□癘吏士，哮虎之怒，薄伐□□。
Mou2008.064.1.12： □□□□，□□□並，百姓賴之，邦域既k(eŋ)寧。
Mou2008.064.1.13： 久勞于外，當還本朝，以敘左l(u)右。
Mou2008.064.1.14： 其辭曰：於惟武君，允德允m(ɨoŋ)恭。
Mou2008.064.1.15： 受天休命，積祉所n(oŋ)鍾。
Mou2008.064.1.16： 其在孩提，岐嶷發o(ioŋ)蹤。
Mou2008.064.1.17： 謙□守約，唯誼是o(ioŋ)從。
Mou2008.064.1.18： 孝深《凱風》，志絜《羔p(ɑŋ)羊》。
Mou2008.064.1.19： 樂是□□，恬此榮p(ɑŋ)光。
Mou2008.064.1.20： 孳孳臨川，闚見□q(iɑŋ)廧。
Mou2008.064.1.21： 𤹯仰萁首，微妙玄n(oŋ)通。
Mou2008.064.1.22： □然清邈，□□□□，□□【升□，爲帝股r(uəŋ)肱。
Mou2008.064.1.23： 扶助大和，萬民迺n(oŋ)蒙。
Mou2008.064.1.24： 顯宗□□，史官書n(oŋ)功。
Mou2008.064.1.25： 昊天上帝，𨹓茲鞠s(uoŋ)凶。
Mou2008.064.1.26： 晻忽徂逝，□□□t(uŋ)宮。
Mou2008.064.1.27： 不享耆耇，大命□□。
Mou2008.064.1.28： 百𨖒惟□，后帝感p(ɑŋ)傷。
Mou2008.064.1.29： 學夫喪師，士女悽p(ɑŋ)愴。
Mou2008.064.1.30： 旌表金石，令問不u(uɑŋ)忘。
Mou2008.064.1.31： 垂□後昆，億載歎o(ioŋ)誦。
Mou2008.067.1.1： 惟□靈定位，川澤股躬，澤有所注，川有所a(oŋ)通。
Mou2008.067.1.2： 余谷之川，其澤南b(uŋ)隆。
Mou2008.067.1.3： 八方所達，益域爲b(uŋ)充。
Mou2008.067.1.4： 高祖受命，興於漢b(uŋ)中。
Mou2008.067.1.5： 道由子午，出散入c(in)秦。
Mou2008.067.1.6： 建定帝位，以漢𧦄󸌇。
Mou2008.067.1.7： 後以子午，𡒎路歮d(ɑn)難。
Mou2008.067.1.8： 更隨圍谷，復通堂e(ɑŋ)光。
Mou2008.067.1.9： 凡此四道，垓鬲尤f(ɛn)艱。
Mou2008.067.1.10： 至於永平，其有四h(en)年。
Mou2008.067.1.11： 詔書開余，鑿通石i(ən)門。
Mou2008.067.1.12： 中遭元二，西夷虐d(ɑn)殘。
Mou2008.067.1.13： 橋梁斷絕，子午j(u)復。
Mou2008.067.1.14： 上則縣峻，屈曲㳅顛；下則人窴，廎寫輸k(uen)淵。
Mou2008.067.1.15： 平阿泥，常蔭鮮l(an)晏。
Mou2008.067.1.16： 木石相距，利磨m(ɔk)确。
Mou2008.067.1.17： 臨危槍碭，履尾心d(ɑn)寒。
Mou2008.067.1.18： 空輿輕騎，𨗼𥃷弗h(en)前。
Mou2008.067.1.19： 𢛫虫𢅷狩，虵蛭毒□。
Mou2008.067.1.20： 未秋截霜，稼苗d(ɑn)殘。
Mou2008.067.1.21： 終年不登，匱餧之n(uan)患。
Mou2008.067.1.22： 卑者楚惡，尊者弗d(ɑn)安。
Mou2008.067.1.23： 愁苦之難，焉可具o(iɑn)言！。
Mou2008.067.1.24： ……。
Mou2008.067.1.25： 其辭曰：君德明明，𤋲煥彌e(ɑŋ)光。
Mou2008.067.1.26： 刺過拾遺，厲清八e(ɑŋ)荒。
Mou2008.067.1.27： 奉魁承杓，綏億衙l(an)強。
Mou2008.067.1.28： 春宣聖恩，秋貶若e(ɑŋ)霜。
