Soas-Unique-ID	Stele-Name	Chinese-Date	Western-Year	Page-#	Poem
# IMPORTANT: Convert ' backslash_n ' to '\n' or '\r\n' depending on your system.
Mou2008.015	《秥蟬縣平山神祠碑》	東漢建武元年至十年	23-34	p32	惟平山君，德配代嵩 backslash_n 承天【出】□，□佑秥蟬 backslash_n 興甘風雨，惠閏土田 backslash_n □□壽考，五穀豐【成】 backslash_n 盜賊不起，□（主凡）□臧 backslash_n 出入吉利，咸受神光
Mou2008.026	《燕然山銘》	東漢永元元年七月	89	p55	鑠王師兮徵荒裔 backslash_n 勦凶虐兮（雀戈）海外 backslash_n 夐其邈兮亘地界 backslash_n 封神丘兮建隆嵑 backslash_n 熙帝載兮振萬世
Mou2008.029	《公乘田魴畫像石墓題記》	東漢永元四年五月二十九日	92	p62	哀賢明而不遂兮  backslash_n 嗟痛淑雅之夭年 backslash_n 去日日而下降兮 backslash_n 榮名絕不信 backslash_n 精浮游而（扌量）（扌主土）兮 backslash_n 魂鑣（云 夕音）而東西  backslash_n 恐精靈而迷惑兮  backslash_n 歌歸來而自還 backslash_n 掾兮歸來無妄行 backslash_n 卒遭毒氣遏匈殃
Mou2008.030	《孟琁殘碑》	東漢永元八年十一月	96	p64	□□□□，□□□結。 backslash_n 四時不和，害氣蕃溢。 backslash_n 嗟命何辜，獨遭斯疾。 backslash_n 中夜奄喪，□□□□。 backslash_n □□□（勞），忽然遠游。 backslash_n 將即幽都，歸于電丘。  backslash_n 涼風滲淋，寒水北流。 backslash_n □□□□，□□□期。 backslash_n 痛哉仁人，積德若滋。 backslash_n 孔子大聖，抱道不施。 backslash_n 尚困于世，□□□□。 backslash_n □□□淵，亦遇此（菑）。  backslash_n 守善不報，自古有之。 backslash_n 非獨孝琚，遭逢百離。 backslash_n □□□□，□□□覆。 backslash_n 恨不伸志，翻揚隆洽。 backslash_n 身滅名存，美稱修（飭）。 backslash_n 勉崇素意，□□□□。  backslash_n □□□（日吉），流惠後昆。 backslash_n 四時祭祀，煙火連延。 backslash_n 萬歲不絕，勖于後人。
Mou2008.034	《秦君墓刻辭》	東漢元興元年十月	105	p73	維烏維烏，尚懷反報，何況於人，號治四靈，君臣父子，順孫弟弟。 backslash_n 二親薨沒，孤悲惻怛，嗚號正月，旦夕思慕冱心，長网五內，力求天命，年壽非永，百身莫贖，欲廣祠廟，尚無餘日。 backslash_n 嗚呼，匪愛力財，迫於制度，蓋欲章明孔子葬母，四尺之裔行上德，比承前聖歲少，以降昭皆，永為德儉，人且記入於禮。 backslash_n 秦仙爰敢宣情，徵之斯石，示有表儀，孝弟之至，通於神明，子孫奉祠，欣肅慎焉。
Mou2008.044	《太室石闕銘》	東漢元初五年四月	118	p101	惟中嶽大室，崇高神君，處茲中夏，伐業最純。 backslash_n 春生萬物，膚寸起雲。潤施原流，鴻濛沛宣。竝天四海，莫不蒙恩。聖朝肅敬，衆庶所尊，齋誡奉祀，戰慄盡懃，以頌功德，刻石紀文，垂顯述異，以傳後賢。
Mou2008.045	《開母廟石闕銘》	東漢延光二年二月	123	p103	昔者共工，範防百川。柏鮌稱遂，□□其原。 backslash_n 洪泉浩浩，下民震驚。禹□大功，疏河寫玄。 backslash_n 九山甄旅，咸秩無文。爰納塗山，辛癸之間。 backslash_n 三過亡入，寔勤斯民。同心濟【隘】，百川是（正）。 backslash_n 杞繒漸替，又遭亂秦。聖漢禋亨，於茲馮神。 backslash_n 翩彼飛雉，崪於其庭。貞祥符瑞，靈支挺生。 backslash_n 陵谷鬻化，陰陽穆清。興雲降雨，□□□盈。 backslash_n 守□不歇，比性乾坤。福祿來（仮），相（宥）我君。 backslash_n 千秋萬祀，子子孫孫。表碣銘功，昭眡後昆。 backslash_n  backslash_n □□□以作廦，惪洋溢而溥優。□□□□為政，（鼎刂）文耀以消搖。 backslash_n □□□□時雝，皇極正而降休。□□□□□穎，芬茲楙于圃疇。 backslash_n □□□□□閉，木連理與芊條。□□□□□盛，胙日新而累熹。 backslash_n □□□而慕化，咸來王而會朝。□□□其清靜，九域尐其脩治。  backslash_n □□□□祈福，祀聖母虖山隅。神禋亨而飴格，釐我後以萬祺。  backslash_n 于胥樂而罔極，永歷載而保之。
Mou2008.051	《王孝淵墓銘》	東漢永建三年六月九日	128	p117	惟王孝淵，嚴【己】毅【仁】，□懷慷慨，□□□□，□□□□。 backslash_n 清約節儉，進退應□。□□□福，莫□□□。□乎鴻發，紹內廷□□□□□□□□□穀□聖。 backslash_n □芬幽蘭，伯□伯□。□墳造墓，蘭疏幽房。□□燿丘，□禮□□。□□勒控，□奉來昆。 backslash_n □履踰□，□思竭□。鴻□維□，□□隆榮。大協同歸，石立□顯。爰示後世，台台勿忘，子子孫孫，秉承久長。
Mou2008.058	《冀州從事馮君碑》	東漢永和六年	141	p132	從事秉德，如玉如瑩，表像所挺，履方【所】（下闕）上，勳力有成。 backslash_n 浩浩兾圡，從事是（糹一八土）。所（下闕）是屏。何寤不遂，中年殀苓。 backslash_n 世喪模範，朝以造茲漢安元軨。
