Mou2008.015.1.1： 惟平山a(un)君。
Mou2008.015.1.2： 德配代嵩 承天【出】□。
Mou2008.015.1.3： □佑秥蟬 興甘風b(uɑ)雨。
Mou2008.015.1.4： 惠閏土田 □□壽c(ou)考。
Mou2008.015.1.5： 五穀豐【成】 盜賊不d(iə)起。
Mou2008.015.1.6： □（主凡）□臧 出入吉e(i)利。
Mou2008.015.1.7： 咸受神f(ɑŋ)光。
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□。
Mou2008.030.1.2： □□□a(et)結。
Mou2008.030.1.3： 四時不b(uɑi)和。
Mou2008.030.1.4： 害氣蕃c(it)溢。
Mou2008.030.1.5： 嗟命何d(uo)辜。
Mou2008.030.1.6： 獨遭斯c(it)疾。
Mou2008.030.1.7： 中夜奄e(ɑŋ)喪。
Mou2008.030.1.8： □□□□。
Mou2008.030.1.9： □□□（勞）。
Mou2008.030.1.10： 忽然遠f(u)游。
Mou2008.030.1.11： 將即幽h(ɑ)都。
Mou2008.030.1.12： 歸于電f(u)丘。
Mou2008.030.1.13： 涼風滲i(im)淋。
Mou2008.030.1.14： 寒水北f(u)流。
Mou2008.030.1.15： □□□□。
Mou2008.030.1.16： □□□j(iə)期。
Mou2008.030.1.17： 痛哉仁k(in)人。
Mou2008.030.1.18： 積德若j(iə)滋。
Mou2008.030.1.19： 孔子大l(eŋ)聖。
Mou2008.030.1.20： 抱道不m(ɑi)施。
Mou2008.030.1.21： 尚困于n(ou)世。
Mou2008.030.1.22： □□□□。
Mou2008.030.1.23： □□□o(uen)淵。
Mou2008.030.1.24： 亦遇p(ie)此（菑）。
Mou2008.030.1.25： 守善不n(ou)報。
Mou2008.030.1.26： 自古f(u)有之。
Mou2008.030.1.27： 非獨孝q(ɨɑ)琚。
Mou2008.030.1.28： 遭逢百r(iɑi)離。
Mou2008.030.1.29： □□□□。
Mou2008.030.1.30： □□□f(u)覆。
Mou2008.030.1.31： 恨不伸s(ə)志。
Mou2008.030.1.32： 翻揚隆t(ɛp)洽。
Mou2008.030.1.33： 身滅名u(ən!)存。
Mou2008.030.1.34： 美稱f(u)修（飭）。
Mou2008.030.1.35： 勉崇素j(iə)意。
Mou2008.030.1.36： □□□□。
Mou2008.030.1.37： □□□（日吉）。
Mou2008.030.1.38： 流惠後v(uən)昆。
Mou2008.030.1.39： 四時祭j(iə)祀。
Mou2008.030.1.40： 煙火連w(an)延。
Mou2008.030.1.41： 萬歲不x(iat)絕。
Mou2008.030.1.42： 勖于後k(in)人。
Mou2008.034.1.1： 維烏維a(ɑ)烏。
Mou2008.034.1.2： 尚懷反b(ou)報。
Mou2008.034.1.3： 何況於c(in)人。
Mou2008.034.1.4： 號治四d(eŋ)靈。
